Booking Stage,Price,Demand,Expected Revenue
Early,100,102.25416148937754,10225.416148937753
Early,110,102.25416148937754,11247.95776383153
Early,120,101.1865276612125,12142.3833193455
Early,130,98.70636676486912,12831.827679432985
Early,140,95.40628325374783,13356.879655524695
Early,150,91.84898357001617,13777.347535502426
Early,160,88.61875679875992,14179.001087801587
Early,170,83.96645424782673,14274.297222130544
Early,180,78.70548493240506,14166.98728783291
Early,190,75.29081837516142,14305.25549128067
Early,200,70.29265045866177,14058.530091732353
Early,210,65.92578049734716,13844.413904442905
Early,220,61.31892263771927,13490.162980298239
Early,230,55.49801860118721,12764.544278273059
Early,240,50.83916572073288,12201.39977297589
Early,250,46.39311162099397,11598.277905248493
Early,260,41.641755667359824,10826.856473513555
Early,270,37.79550914056352,10204.78746795215
Early,280,33.210406424911554,9298.913798975234
Early,290,29.294832045396547,8495.501293164998
Early,300,26.355601516224475,7906.680454867343
Early,310,23.002837930694618,7130.879758515332
Early,320,19.927645023142578,6376.846407405625
Early,330,18.113960757869357,5977.607050096888
Early,340,16.521556149004486,5617.329090661525
Early,350,14.471829693414172,5065.140392694961
Early,360,12.82447319056747,4616.810348604289
Early,370,11.957597328843317,4424.311011672027
Early,380,10.466877064307905,3977.4132844370038
Early,390,10.210960240427024,3982.2744937665393
Early,400,8.895747405616326,3558.2989622465307
Early,410,8.403126314678381,3445.2817890181364
Early,420,7.908678768685185,3321.6450828477778
Early,430,7.315408325254296,3145.6255798593475
Early,440,6.834704590536788,3007.2700198361867
Early,450,6.139450252716166,2762.752613722275
Early,460,5.931185004394337,2728.3451020213947
Early,470,5.544195540063669,2605.771903829924
Early,480,5.413861269065045,2598.6534091512212
Early,490,5.297828801493438,2595.9361127317843
Early,500,5.297828801493438,2648.914400746719
Final,100,88.17890807976903,8817.890807976903
Final,110,88.17890807976903,9699.679888774594
Final,120,87.31414679949887,10477.697615939865
Final,130,84.87897659480473,11034.266957324615
Final,140,81.78155283900826,11449.417397461157
Final,150,78.22192335555795,11733.288503333692
Final,160,75.16664721521747,12026.663554434796
Final,170,70.48945466152921,11983.207292459965
Final,180,65.80721788270529,11845.299218886952
Final,190,63.57459633352134,12079.173303369054
Final,200,59.32408434612675,11864.816869225351
Final,210,55.15372958001507,11582.283211803164
Final,220,51.179112462789156,11259.404741813614
Final,230,45.87266923620402,10550.713924326925
Final,240,42.021626901122076,10085.190456269298
Final,250,38.686675168298194,9671.668792074548
Final,260,34.562318867546495,8986.202905562088
Final,270,31.2048562781562,8425.311195102175
Final,280,27.89676924019349,7811.095387254177
Final,290,24.636320893804093,7144.533059203187
Final,300,21.820109781764998,6546.0329345294995
Final,310,19.14209967210648,5934.050898353008
Final,320,16.498165690657668,5279.413021010454
Final,330,14.968621066302429,4939.644951879802
Final,340,13.818114994764795,4698.1590982200305
Final,350,11.757609192256847,4115.163217289896
Final,360,10.374080771599019,3734.6690777756467
Final,370,9.303868226732686,3442.431243891094
Final,380,8.117252756395246,3084.5560474301933
Final,390,7.905125029815835,3082.9987616281755
Final,400,6.658918714487946,2663.5674857951785
Final,410,6.166297623550086,2528.182025655535
Final,420,5.736491780061236,2409.3265476257193
Final,430,5.290272911637246,2274.8173520040154
Final,440,4.809569176919737,2116.2104378446843
Final,450,4.26579516184804,1919.6078228316178
Final,460,4.116888186917073,1893.7685659818537
Final,470,3.783207598249817,1778.1075711774138
Final,480,3.6768623184034865,1764.8939128336735
Final,490,3.619248725572028,1773.4318755302938
Final,500,3.619248725572028,1809.624362786014
Middle,100,149.32312644877067,14932.312644877067
Middle,110,149.32312644877067,16425.543909364773
Middle,120,147.50982234630914,17701.178681557096
Middle,130,143.61829148752412,18670.377893378136
Middle,140,139.06570629335152,19469.198881069213
Middle,150,134.63659772570296,20195.489658855444
Middle,160,130.45462514271733,20872.740022834772
Middle,170,124.58087022627757,21178.747938467186
Middle,180,117.21186307087368,21098.13535275726
Middle,190,112.30537192115075,21338.02066501864
Middle,200,103.97584679591492,20795.169359182983
Middle,210,97.62095261187052,20500.40004849281
Middle,220,90.99943265096597,20019.875183212513
Middle,230,82.8427775391086,19053.838833994978
Middle,240,76.7737436437386,18425.698474497265
Middle,250,70.6821081435829,17670.527035895724
Middle,260,63.334706340005376,16467.0236484014
Middle,270,57.067134490007255,15408.12631230196
Middle,280,50.7358927589089,14206.049972494493
Middle,290,45.005008808219884,13051.452554383766
Middle,300,40.06801965430319,12020.405896290958
Middle,310,35.16963872133836,10902.588003614892
Middle,320,30.679841347220094,9817.54923111043
Middle,330,27.66594358581425,9129.761383318702
Middle,340,25.453013049778924,8654.024436924834
Middle,350,22.316160323279608,7810.656113147863
Middle,360,19.723899034569627,7100.603652445066
Middle,370,17.70512453537854,6550.896078090061
Middle,380,15.4518996383552,5871.7218625749765
Middle,390,15.048581192691948,5868.94666514986
Middle,400,12.763755241465677,5105.502096586271
Middle,410,11.857977346060416,4861.77071188477
Middle,420,11.248779852536536,4724.487538065346
Middle,430,10.455791400538654,4495.990302231621
Middle,440,9.713345031709501,4273.871813952181
Middle,450,8.892752417703413,4001.7385879665358
Middle,460,8.614891010366172,3962.849864768439
Middle,470,8.175585143531372,3842.5250174597445
Middle,480,7.964279120914966,3822.853978039184
Middle,490,7.791775948233479,3817.970214634405
Middle,500,7.791775948233479,3895.8879741167393
