flight_id,date,origin,destination,distance,flight_time,route_popularity,aircraft,seat_capacity,departure_hour,month,day_of_week,weekend,holiday,season,special_event,weather_score,fuel_price,economic_index,booking_stage,fare_class,fare_capacity,price,competitor_price,price_ratio
DFW_JFK,2023-01-10,DFW,JFK,1391,3.5,1.2,A321neo,220,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Economy,165,225.36,225.54,1.013
DFW_JFK,2023-01-10,DFW,JFK,1391,3.5,1.2,A321neo,220,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Economy,165,263.58,264.13,1.011
DFW_JFK,2023-01-10,DFW,JFK,1391,3.5,1.2,A321neo,220,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Economy,165,323.64,320.62,1.022
DFW_JFK,2023-01-10,DFW,JFK,1391,3.5,1.2,A321neo,220,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Premium,33,487.63,489.76,1.008
DFW_JFK,2023-01-10,DFW,JFK,1391,3.5,1.2,A321neo,220,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Premium,33,572.06,571.76,1.013
DFW_JFK,2023-01-10,DFW,JFK,1391,3.5,1.2,A321neo,220,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Premium,33,714.71,715.3,1.013
DFW_JFK,2023-01-10,DFW,JFK,1391,3.5,1.2,A321neo,220,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Business,22,928.3,933.74,1.007
DFW_JFK,2023-01-10,DFW,JFK,1391,3.5,1.2,A321neo,220,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Business,22,1082.08,1082.38,1.014
DFW_JFK,2023-01-10,DFW,JFK,1391,3.5,1.2,A321neo,220,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Business,22,1356.49,1357.84,1.013
DFW_LAX,2023-01-10,DFW,LAX,1235,3.0,1.15,A321neo,220,18,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Economy,165,223.25,222.78,1.018
DFW_LAX,2023-01-10,DFW,LAX,1235,3.0,1.15,A321neo,220,18,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Economy,165,261.48,261.15,1.015
DFW_LAX,2023-01-10,DFW,LAX,1235,3.0,1.15,A321neo,220,18,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Economy,165,324.14,325.7,1.01
DFW_LAX,2023-01-10,DFW,LAX,1235,3.0,1.15,A321neo,220,18,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Premium,33,492.68,493.45,1.012
DFW_LAX,2023-01-10,DFW,LAX,1235,3.0,1.15,A321neo,220,18,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Premium,33,577.43,578.84,1.009
DFW_LAX,2023-01-10,DFW,LAX,1235,3.0,1.15,A321neo,220,18,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Premium,33,716.22,717.08,1.012
DFW_LAX,2023-01-10,DFW,LAX,1235,3.0,1.15,A321neo,220,18,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Business,22,927.0,924.18,1.017
DFW_LAX,2023-01-10,DFW,LAX,1235,3.0,1.15,A321neo,220,18,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Business,22,1082.36,1076.87,1.017
DFW_LAX,2023-01-10,DFW,LAX,1235,3.0,1.15,A321neo,220,18,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Business,22,1348.12,1353.8,1.008
DFW_ORD,2023-01-10,DFW,ORD,802,2.3,1.05,B737,189,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Economy,141,223.11,222.73,1.015
DFW_ORD,2023-01-10,DFW,ORD,802,2.3,1.05,B737,189,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Economy,141,263.59,262.85,1.014
DFW_ORD,2023-01-10,DFW,ORD,802,2.3,1.05,B737,189,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Economy,141,322.72,323.33,1.011
DFW_ORD,2023-01-10,DFW,ORD,802,2.3,1.05,B737,189,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Premium,28,492.37,491.18,1.015
DFW_ORD,2023-01-10,DFW,ORD,802,2.3,1.05,B737,189,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Premium,28,571.25,570.7,1.014
DFW_ORD,2023-01-10,DFW,ORD,802,2.3,1.05,B737,189,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Premium,28,704.42,704.89,1.013
DFW_ORD,2023-01-10,DFW,ORD,802,2.3,1.05,B737,189,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Business,20,949.6,950.67,1.011
DFW_ORD,2023-01-10,DFW,ORD,802,2.3,1.05,B737,189,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Business,20,1086.02,1082.35,1.017
DFW_ORD,2023-01-10,DFW,ORD,802,2.3,1.05,B737,189,10,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Business,20,1339.47,1345.26,1.009
DFW_ATL,2023-01-10,DFW,ATL,731,2.1,1.1,A321neo,220,16,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Economy,165,222.3,222.87,1.012
DFW_ATL,2023-01-10,DFW,ATL,731,2.1,1.1,A321neo,220,16,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Economy,165,261.16,261.79,1.013
DFW_ATL,2023-01-10,DFW,ATL,731,2.1,1.1,A321neo,220,16,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Economy,165,321.11,321.39,1.012
DFW_ATL,2023-01-10,DFW,ATL,731,2.1,1.1,A321neo,220,16,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Premium,33,493.43,493.3,1.014
DFW_ATL,2023-01-10,DFW,ATL,731,2.1,1.1,A321neo,220,16,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Premium,33,580.89,581.27,1.014
DFW_ATL,2023-01-10,DFW,ATL,731,2.1,1.1,A321neo,220,16,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Premium,33,711.72,713.05,1.012
DFW_ATL,2023-01-10,DFW,ATL,731,2.1,1.1,A321neo,220,16,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Business,22,923.36,921.05,1.016
DFW_ATL,2023-01-10,DFW,ATL,731,2.1,1.1,A321neo,220,16,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Business,22,1092.22,1093.11,1.014
DFW_ATL,2023-01-10,DFW,ATL,731,2.1,1.1,A321neo,220,16,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Business,22,1360.09,1355.3,1.015
DFW_SEA,2023-01-10,DFW,SEA,1660,4.0,1.0,A321neo,220,6,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Economy,165,223.36,223.57,1.013
DFW_SEA,2023-01-10,DFW,SEA,1660,4.0,1.0,A321neo,220,6,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Economy,165,260.42,258.61,1.02
DFW_SEA,2023-01-10,DFW,SEA,1660,4.0,1.0,A321neo,220,6,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Economy,165,322.51,321.67,1.016
DFW_SEA,2023-01-10,DFW,SEA,1660,4.0,1.0,A321neo,220,6,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Premium,33,490.13,489.45,1.014
DFW_SEA,2023-01-10,DFW,SEA,1660,4.0,1.0,A321neo,220,6,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Premium,33,567.88,564.58,1.019
DFW_SEA,2023-01-10,DFW,SEA,1660,4.0,1.0,A321neo,220,6,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Premium,33,713.97,717.72,1.009
DFW_SEA,2023-01-10,DFW,SEA,1660,4.0,1.0,A321neo,220,6,1,Tuesday,0,0,Winter,0,1.0,100,100,Early,Business,22,935.48,934.43,1.014
DFW_SEA,2023-01-10,DFW,SEA,1660,4.0,1.0,A321neo,220,6,1,Tuesday,0,0,Winter,0,1.0,100,100,Middle,Business,22,1087.33,1084.83,1.015
DFW_SEA,2023-01-10,DFW,SEA,1660,4.0,1.0,A321neo,220,6,1,Tuesday,0,0,Winter,0,1.0,100,100,Final,Business,22,1334.42,1326.94,1.018
