Booking Stage,Price,Demand,Expected Revenue
Early,200,14.228064590495205,2845.612918099041
Early,210,14.228064590495205,2987.893564003993
Early,220,14.228064590495205,3130.174209908945
Early,230,14.228064590495205,3272.454855813897
Early,240,14.058952473805737,3374.148593713377
Early,250,13.804999764334141,3451.2499410835353
Early,260,13.645102757933397,3547.7267170626833
Early,270,13.431748001615713,3626.5719604362425
Early,280,13.362294616253436,3741.442492550962
Early,290,13.123165052645962,3805.717865267329
Early,300,12.892703460685743,3867.811038205723
Early,310,12.656901438597238,3923.6394459651438
Early,320,12.492388886152964,3997.5644435689487
Early,330,12.16313768703244,4013.8354367207053
Early,340,12.018098985005311,4086.153654901806
Early,350,11.609394663370262,4063.2881321795917
Early,360,11.386302311373484,4099.068832094455
Early,370,11.146985970514182,4124.3848090902475
Early,380,10.828149502549119,4114.696810968665
Early,390,10.575058090749895,4124.2726553924595
Early,400,10.351743282147089,4140.697312858835
Early,410,10.12138597558302,4149.768249989039
Early,420,9.806016850209176,4118.527077087854
Early,430,9.646279630576483,4147.900241147888
Early,440,9.413967577081003,4142.145733915641
Early,450,9.198332490524564,4139.249620736054
Early,460,8.948953053347372,4116.518404539791
Early,470,8.581154748631793,4033.1427318569426
Early,480,8.243810337882506,3957.0289621836027
Early,490,7.917219371259386,3879.437491917099
Early,500,7.660308211222211,3830.1541056111055
Early,510,7.4023232891573,3775.184877470223
Early,520,7.083231379889557,3683.2803175425697
Early,530,6.868387499425718,3640.2453746956303
Early,540,6.429265952201993,3471.803614189076
Early,550,6.231602861408267,3427.3815737745467
Early,560,5.98126384298495,3349.5077520715718
Early,570,5.789483642163768,3300.0056760333478
Early,580,5.556629273539248,3222.844978652764
Early,590,5.2565891589388,3101.387603773892
Early,600,5.084438931669768,3050.6633590018605
Early,610,4.80753915362503,2932.5988837112686
Early,620,4.53090238237696,2809.159477073715
Early,630,4.390087603499433,2765.7551902046425
Early,640,4.214667399306342,2697.387135556059
Early,650,4.005519587581926,2603.5877319282517
Early,660,3.8577142792312733,2546.0914242926406
Early,670,3.646910543326581,2443.4300640288093
Early,680,3.5311125159350256,2401.1565108358172
Early,690,3.4137501054055504,2355.48757272983
Early,700,3.150312923982858,2205.2190467880005
Early,710,3.066449322948645,2177.179019293538
Early,720,3.030797465308593,2182.1741750221872
Early,730,2.6048938753623876,1901.5725290145429
Early,740,2.6299590541212163,1946.1697000497002
Early,750,2.376385770992699,1782.2893282445243
Early,760,2.336977299651047,1776.102747734796
Early,770,2.1203340515349653,1632.6572196819234
Early,780,2.114105447468676,1649.0022490255672
Early,790,2.0651367324691288,1631.4580186506116
Early,800,2.0068222265386195,1605.4577812308955
Early,810,1.9326605756629736,1565.4550662870085
Early,820,1.7295527725614424,1418.2332735003827
Early,830,1.7042135222481063,1414.4972234659283
Early,840,1.7048650868329291,1432.0866729396605
Early,850,1.609484137042796,1368.0615164863766
Early,860,1.5579447278794527,1339.8324659763293
Early,870,1.5579447278794527,1355.4119132551239
Early,880,1.5213979593366798,1338.8302042162782
Early,890,1.4378509903340788,1279.6873813973302
Early,900,1.4137878931552565,1272.409103839731
Early,910,1.309817854114975,1191.9342472446272
Early,920,1.3001544148047142,1196.142061620337
Early,930,1.2582292550457268,1170.153207192526
Early,940,1.2005722539855554,1128.537918746422
Early,950,1.1767966120353544,1117.9567814335867
Early,960,1.1767966120353544,1129.7247475539402
Early,970,1.0761681299900365,1043.8830860903354
Early,980,1.0790835402153407,1057.5018694110338
Early,990,1.0792404951084738,1068.448090157389
Early,1000,1.0781195292265071,1078.1195292265072
Final,200,18.493853719820102,3698.7707439640203
Final,210,18.493853719820102,3883.7092811622215
Final,220,18.493853719820102,4068.647818360422
Final,230,18.493853719820102,4253.586355558624
Final,240,18.3968895419839,4415.253490076136
Final,250,18.188555499652992,4547.138874913248
Final,260,18.010048172316807,4682.61252480237
Final,270,17.655488081587947,4766.981782028745
Final,280,17.623757336960104,4934.652054348829
Final,290,17.282596596021214,5011.953012846152
Final,300,17.011636629032523,5103.4909887097565
Final,310,16.72892900926701,5185.967992872773
Final,320,16.43728496343718,5259.931188299897
Final,330,16.074020586681968,5304.426793605049
Final,340,16.007321686841834,5442.489373526224
Final,350,15.552049416140264,5443.217295649092
Final,360,15.19695522074116,5470.903879466818
Final,370,14.91516283421312,5518.610248658854
Final,380,14.532649332909617,5522.406746505654
Final,390,14.318442364673858,5584.192522222805
Final,400,14.090003954074838,5636.001581629936
Final,410,13.778308712708096,5649.106572210319
Final,420,13.304539953740857,5587.90678057116
Final,430,13.146987249954897,5653.204517480605
Final,440,12.856040318412635,5656.657740101559
Final,450,12.539932837006813,5642.969776653065
Final,460,12.154147363991479,5590.90778743608
Final,470,11.542729518689935,5425.082873784269
Final,480,10.963520194553865,5262.489693385855
Final,490,10.445775342543078,5118.429917846108
Final,500,10.055322847463728,5027.661423731864
Final,510,9.73793867118659,4966.348722305162
Final,520,9.257107420155897,4813.695858481066
Final,530,9.029392116109413,4785.577821537989
Final,540,8.454287905923255,4565.315469198558
Final,550,8.253160421888333,4539.238232038583
Final,560,7.9461402154996925,4449.8385206798275
Final,570,7.693988241784397,4385.573297817106
Final,580,7.368120969858709,4273.510162518051
Final,590,7.00671276369973,4133.960530582841
Final,600,6.760428154173475,4056.256892504085
Final,610,6.41357931674864,3912.2833832166707
Final,620,6.051002981210752,3751.6218483506664
Final,630,5.8612268724394765,3692.5729296368704
Final,640,5.63915442223191,3609.0588302284227
Final,650,5.431168511124399,3530.2595322308593
Final,660,5.148004136851002,3397.6827303216614
Final,670,4.839984592839901,3242.789677202734
Final,680,4.678960500814343,3181.693140553753
Final,690,4.5480706077843465,3138.168719371199
Final,700,4.099833412364375,2869.8833886550624
Final,710,4.015969811330164,2851.3385660444164
Final,720,3.9286238703373852,2828.6091866429174
Final,730,3.4650731924453297,2529.5034304850906
Final,740,3.496145026318381,2587.147319475602
Final,750,3.2073456117142864,2405.5092087857147
Final,760,3.109528625398183,2363.2417553026194
